date,country,D,H,I,M,S
2021-10-26,Japan,24,0,0,97,0
2021-10-26,Sweden,1,0,0,8,0
2021-10-27,Afghanistan,2,0,0,34,1
2021-10-27,Japan,24,0,0,97,0
2021-10-27,Sweden,1,0,0,8,0
2021-10-28,Afghanistan,2,0,0,34,1
2021-10-28,Japan,24,0,0,97,0
2021-10-28,Sweden,1,0,0,8,0
2021-10-29,Afghanistan,2,0,0,34,1
2021-10-29,Japan,24,0,0,97,0
2021-10-29,Sweden,1,0,0,8,0
2021-10-30,Afghanistan,2,0,0,34,1
2021-10-30,Japan,24,0,0,97,0
2021-10-30,Sweden,1,0,0,8,0
2021-10-31,Afghanistan,2,0,0,34,1
2021-10-31,Japan,24,0,0,97,0
2021-10-31,Sweden,1,0,0,8,0
2021-11-01,Afghanistan,2,0,0,34,1
2021-11-01,Japan,24,0,0,97,0
2021-11-01,Sweden,1,0,0,8,0
2021-11-02,Afghanistan,2,0,0,34,1
2021-11-02,Japan,24,0,0,97,0
2021-11-02,Sweden,1,0,0,8,0
2021-11-03,Afghanistan,2,0,0,34,1
2021-11-03,Japan,24,0,0,97,0
2021-11-03,Sweden,1,0,0,8,0
2021-11-04,Afghanistan,2,0,0,34,1
2021-11-04,Japan,24,0,0,97,0
2021-11-04,Sweden,1,0,0,8,0
2021-11-05,Afghanistan,2,0,0,34,1
2021-11-05,Japan,24,0,0,97,0
2021-11-05,Sweden,1,0,0,8,0
2021-11-06,Afghanistan,2,0,0,34,1
2021-11-06,Japan,24,0,0,97,0
2021-11-06,Sweden,1,0,0,8,0
2021-11-07,Afghanistan,2,0,0,34,1
2021-11-07,Japan,24,0,0,97,0
2021-11-07,Sweden,1,0,0,8,0
2021-11-08,Afghanistan,2,0,0,35,0
2021-11-08,Japan,24,0,0,97,0
2021-11-08,Sweden,1,0,0,8,0
2021-11-09,Afghanistan,2,0,0,35,0
2021-11-09,Japan,24,0,0,97,0
2021-11-09,Sweden,1,0,0,8,0
2021-11-10,Afghanistan,2,0,0,35,0
2021-11-10,Japan,24,0,0,97,0
2021-11-10,Sweden,1,0,0,8,0
2021-11-11,Afghanistan,2,0,0,35,0
2021-11-11,Japan,24,0,0,97,0
2021-11-11,Sweden,1,0,0,8,0
2021-11-12,Afghanistan,2,0,0,35,0
2021-11-12,Japan,24,0,0,97,0
2021-11-12,Sweden,1,0,0,8,0
2021-11-13,Afghanistan,2,0,0,35,0
2021-11-13,Japan,24,0,0,97,0
2021-11-13,Sweden,1,0,0,8,0
2021-11-14,Afghanistan,2,0,0,35,0
2021-11-14,Japan,24,0,0,97,0
2021-11-14,Sweden,1,0,0,8,0
2021-11-15,Afghanistan,2,0,0,35,0
2021-11-15,Japan,24,0,0,97,0
2021-11-15,Sweden,1,0,0,8,0
2021-11-16,Afghanistan,2,0,0,35,0
2021-11-16,Japan,24,0,0,97,0
2021-11-16,Sweden,1,0,0,8,0
2021-11-17,Afghanistan,2,0,0,35,0
2021-11-17,Japan,24,0,0,97,0
2021-11-17,Sweden,1,0,0,8,0
2021-11-18,Afghanistan,2,0,0,35,0
2021-11-18,Japan,24,0,0,97,0
2021-11-18,Sweden,1,0,0,8,0
2021-11-19,Afghanistan,2,0,0,35,0
2021-11-19,Japan,24,0,0,97,0
2021-11-19,Sweden,1,0,0,8,0
2021-11-20,Afghanistan,2,0,0,35,0
2021-11-20,Japan,24,0,0,97,0
2021-11-20,Sweden,1,0,0,8,0
2021-11-21,Afghanistan,2,0,0,35,0
2021-11-21,Japan,24,0,0,97,0
2021-11-21,Sweden,1,0,0,8,0
2021-11-22,Afghanistan,2,0,0,35,0
2021-11-22,Japan,24,0,0,97,0
2021-11-22,Sweden,1,0,0,8,0
2021-11-23,Afghanistan,2,0,0,35,0
2021-11-23,Japan,24,0,0,97,0
2021-11-23,Sweden,1,0,0,8,0
2021-11-24,Afghanistan,2,0,0,35,0
2021-11-24,Japan,24,0,0,97,0
2021-11-24,Sweden,1,0,0,8,0
2021-11-25,Afghanistan,2,0,0,35,0
2021-11-25,Japan,24,0,0,97,0
2021-11-25,Sweden,1,0,0,8,0
2021-11-26,Afghanistan,2,0,0,35,0
2021-11-26,Japan,24,0,0,97,0
2021-11-26,Sweden,1,0,0,8,0
2021-11-27,Afghanistan,2,0,0,35,0
2021-11-27,Japan,24,0,0,97,0
2021-11-27,Sweden,1,0,0,8,0
2021-11-28,Afghanistan,2,0,0,35,0
2021-11-28,Japan,24,0,0,97,0
2021-11-28,Sweden,1,0,0,8,0
2021-11-29,Afghanistan,2,0,0,35,0
2021-11-29,Japan,24,0,0,97,0
2021-11-29,Sweden,1,0,0,8,0
2021-11-30,Afghanistan,2,0,0,35,0
2021-11-30,Japan,24,0,0,97,0
2021-11-30,Sweden,1,0,0,8,0
2021-12-01,Afghanistan,2,0,0,35,0
2021-12-01,Japan,24,0,0,97,0
2021-12-01,Sweden,1,0,0,8,0
2021-12-02,Afghanistan,2,0,0,35,0
2021-12-02,Japan,24,0,0,97,0
2021-12-02,Sweden,1,0,0,8,0
2021-12-03,Afghanistan,2,0,0,35,0
2021-12-03,Japan,24,0,0,97,0
2021-12-03,Sweden,1,0,0,8,0
2021-12-04,Afghanistan,2,0,0,35,0
2021-12-04,Japan,24,0,0,97,0
2021-12-04,Sweden,1,0,0,8,0
2021-12-05,Afghanistan,2,0,0,35,0
2021-12-05,Japan,24,0,0,97,0
2021-12-05,Sweden,1,0,0,8,0
2021-12-06,Afghanistan,2,0,0,35,0
2021-12-06,Japan,24,4,0,93,0
2021-12-06,Sweden,1,0,0,8,0
2021-12-07,Afghanistan,2,0,0,35,0
2021-12-07,Japan,24,5,2,90,0
2021-12-07,Sweden,1,0,0,8,0
2021-12-08,Afghanistan,2,0,0,35,0
2021-12-08,Japan,24,7,3,87,0
2021-12-08,Sweden,1,1,0,7,0
2021-12-09,Afghanistan,2,5,0,30,0
2021-12-09,Japan,24,13,4,80,0
2021-12-09,Sweden,1,2,0,6,0
2021-12-10,Afghanistan,2,4,1,30,0
2021-12-10,Japan,24,14,6,77,0
2021-12-10,Sweden,1,1,1,6,0
2021-12-11,Afghanistan,2,3,2,30,0
2021-12-11,Japan,24,11,8,76,2
2021-12-11,Sweden,1,2,1,5,0
2021-12-12,Afghanistan,2,2,4,29,0
2021-12-12,Japan,24,7,11,76,3
2021-12-12,Sweden,1,1,2,5,0
2021-12-13,Afghanistan,2,1,5,29,0
2021-12-13,Japan,24,6,12,76,3
2021-12-13,Sweden,1,1,2,5,0
2021-12-14,Afghanistan,2,1,5,29,0
2021-12-14,Japan,24,7,12,73,5
2021-12-14,Sweden,1,1,1,6,0
2021-12-15,Afghanistan,2,1,4,30,0
2021-12-15,Japan,24,7,8,74,8
2021-12-15,Sweden,1,1,1,6,0
2021-12-16,Afghanistan,2,1,2,31,1
2021-12-16,Japan,24,6,5,76,10
2021-12-16,Sweden,1,1,0,6,1
2021-12-17,Afghanistan,2,1,1,31,2
2021-12-17,Japan,24,6,3,76,12
2021-12-17,Sweden,1,1,0,6,1
2021-12-18,Afghanistan,2,1,0,31,3
2021-12-18,Japan,24,4,3,76,14
2021-12-18,Sweden,1,0,1,6,1
2021-12-19,Afghanistan,2,1,0,31,3
2021-12-19,Japan,24,3,5,75,14
2021-12-19,Sweden,1,0,1,6,1
2021-12-20,Afghanistan,2,1,0,31,3
2021-12-20,Japan,24,3,6,74,14
2021-12-20,Sweden,1,0,1,6,1
2021-12-21,Afghanistan,2,4,0,28,3
2021-12-21,Japan,24,7,7,69,14
2021-12-21,Sweden,1,0,1,6,1
2021-12-22,Afghanistan,2,5,0,27,3
2021-12-22,Japan,24,12,7,63,15
2021-12-22,Sweden,1,0,0,6,2
2021-12-23,Afghanistan,2,9,0,23,3
2021-12-23,Japan,24,16,8,57,16
2021-12-23,Sweden,1,3,0,3,2
2021-12-24,Afghanistan,2,8,2,22,3
2021-12-24,Japan,24,19,8,52,18
2021-12-24,Sweden,1,3,1,2,2
2021-12-25,Afghanistan,2,8,3,21,3
2021-12-25,Japan,25,21,11,48,16
2021-12-25,Sweden,1,2,2,2,2
2021-12-26,Afghanistan,2,9,4,19,3
2021-12-26,Japan,25,22,13,45,16
2021-12-26,Sweden,1,2,2,2,2
2021-12-27,Afghanistan,2,7,6,19,3
2021-12-27,Japan,25,20,16,42,18
2021-12-27,Sweden,1,2,2,2,2
2021-12-28,Afghanistan,2,5,7,18,5
2021-12-28,Japan,26,15,21,42,17
2021-12-28,Sweden,1,2,1,2,3
2021-12-29,Afghanistan,2,7,6,16,6
2021-12-29,Japan,27,14,19,44,17
2021-12-29,Sweden,1,2,0,3,3
2021-12-30,Afghanistan,2,6,6,18,5
2021-12-30,Japan,27,12,18,46,18
2021-12-30,Sweden,1,1,1,4,2
2021-12-31,Afghanistan,2,5,6,20,4
2021-12-31,Japan,27,9,16,48,21
2021-12-31,Sweden,1,1,1,4,2
2022-01-01,Afghanistan,2,4,4,23,4
2022-01-01,Japan,27,9,10,52,23
2022-01-01,Sweden,1,0,2,4,2
2022-01-02,Afghanistan,2,3,5,23,4
2022-01-02,Japan,27,6,11,53,24
2022-01-02,Sweden,1,0,2,4,2
2022-01-03,Afghanistan,2,3,4,24,4
2022-01-03,Japan,27,6,10,54,24
2022-01-03,Sweden,1,0,1,5,2
2022-01-04,Afghanistan,2,1,4,25,5
2022-01-04,Japan,27,7,8,54,25
2022-01-04,Sweden,1,0,1,5,2
2022-01-05,Afghanistan,2,1,3,26,5
2022-01-05,Japan,27,7,9,53,25
2022-01-05,Sweden,1,0,0,7,1
2022-01-06,Afghanistan,2,2,3,24,6
2022-01-06,Japan,27,9,8,52,25
2022-01-06,Sweden,1,1,0,6,1
2022-01-07,Afghanistan,2,5,3,21,6
2022-01-07,Japan,29,9,8,50,25
2022-01-07,Sweden,1,1,0,6,1
2022-01-08,Afghanistan,2,6,1,21,7
2022-01-08,Japan,29,9,9,47,27
2022-01-08,Sweden,1,1,0,6,1
2022-01-09,Afghanistan,2,6,2,20,7
2022-01-09,Japan,29,10,8,47,27
2022-01-09,Sweden,1,0,1,6,1
2022-01-10,Afghanistan,2,5,2,21,7
2022-01-10,Japan,30,7,9,48,27
2022-01-10,Sweden,1,0,1,6,1
2022-01-11,Afghanistan,3,5,2,22,5
2022-01-11,Japan,31,6,9,48,27
2022-01-11,Sweden,1,0,1,7,0
2022-01-12,Afghanistan,3,3,4,23,4
2022-01-12,Japan,32,6,6,52,25
2022-01-12,Sweden,1,0,1,7,0
2022-01-13,Afghanistan,3,4,3,22,5
2022-01-13,Japan,32,5,7,54,23
2022-01-13,Sweden,1,0,0,7,1
2022-01-14,Afghanistan,3,4,2,22,6
2022-01-14,Japan,33,2,7,60,19
2022-01-14,Sweden,1,0,0,7,1
2022-01-15,Afghanistan,3,3,3,23,5
2022-01-15,Japan,33,0,7,65,16
2022-01-15,Sweden,1,0,0,7,1
2022-01-16,Afghanistan,3,3,2,23,6
2022-01-16,Japan,34,0,7,65,15
2022-01-16,Sweden,1,0,0,7,1
2022-01-17,Afghanistan,3,3,2,23,6
2022-01-17,Japan,34,1,5,65,16
2022-01-17,Sweden,1,0,0,7,1
2022-01-18,Afghanistan,3,3,2,24,5
2022-01-18,Japan,34,1,2,67,17
2022-01-18,Sweden,1,0,0,7,1
2022-01-19,Afghanistan,3,2,2,25,5
2022-01-19,Japan,35,1,0,69,16
2022-01-19,Sweden,1,0,0,7,1
2022-01-20,Afghanistan,3,2,1,26,5
2022-01-20,Japan,35,2,0,69,15
2022-01-20,Sweden,1,0,0,7,1
2022-01-21,Afghanistan,3,2,1,26,5
2022-01-21,Japan,37,2,0,69,13
2022-01-21,Sweden,1,0,0,7,1
2022-01-22,Afghanistan,3,3,1,26,4
2022-01-22,Japan,37,2,0,71,11
2022-01-22,Sweden,1,0,0,7,1
2022-01-23,Afghanistan,3,3,0,26,5
2022-01-23,Japan,37,2,1,71,10
2022-01-23,Sweden,1,0,0,7,1
2022-01-24,Afghanistan,3,3,0,26,5
2022-01-24,Japan,39,2,1,71,8
2022-01-24,Sweden,1,0,0,7,1
2022-01-25,Afghanistan,3,2,1,26,5
2022-01-25,Japan,39,2,1,72,7
2022-01-25,Sweden,1,0,0,7,1
2022-01-26,Afghanistan,3,2,1,26,5
2022-01-26,Japan,40,2,1,72,6
2022-01-26,Sweden,1,0,0,7,1
2022-01-27,Afghanistan,3,3,1,26,4
2022-01-27,Japan,40,1,1,74,5
2022-01-27,Sweden,1,0,0,8,0
2022-01-28,Afghanistan,3,3,1,27,3
2022-01-28,Japan,40,1,1,75,4
2022-01-28,Sweden,1,0,0,8,0
2022-01-29,Afghanistan,3,3,0,27,4
2022-01-29,Japan,40,1,1,76,3
2022-01-29,Sweden,1,0,0,8,0
2022-01-30,Afghanistan,3,3,0,28,3
2022-01-30,Japan,40,2,1,75,3
2022-01-30,Sweden,1,0,0,8,0
2022-01-31,Afghanistan,3,3,0,28,3
2022-01-31,Japan,40,1,1,76,3
2022-01-31,Sweden,1,0,0,8,0
2022-02-01,Afghanistan,3,3,0,28,3
2022-02-01,Japan,40,1,1,78,1
2022-02-01,Sweden,1,0,0,8,0
2022-02-02,Afghanistan,3,2,1,28,3
2022-02-02,Japan,40,1,1,78,1
2022-02-02,Sweden,1,0,0,8,0
2022-02-03,Afghanistan,3,2,1,29,2
2022-02-03,Japan,40,0,2,78,1
2022-02-03,Sweden,1,0,0,8,0
2022-02-04,Afghanistan,3,2,1,29,2
2022-02-04,Japan,40,0,1,78,2
2022-02-04,Sweden,1,0,0,8,0
2022-02-05,Afghanistan,3,2,1,29,2
2022-02-05,Japan,40,0,1,78,2
2022-02-05,Sweden,1,0,0,8,0
2022-02-06,Afghanistan,3,2,0,30,2
2022-02-06,Japan,40,0,1,78,2
2022-02-06,Sweden,1,0,0,8,0
2022-02-07,Afghanistan,3,2,0,30,2
2022-02-07,Japan,40,0,0,79,2
2022-02-07,Sweden,1,0,0,8,0
2022-02-08,Afghanistan,3,2,0,30,2
2022-02-08,Japan,40,0,0,79,2
2022-02-08,Sweden,1,0,0,8,0
2022-02-09,Afghanistan,3,2,0,30,2
2022-02-09,Japan,40,0,0,79,2
2022-02-09,Sweden,1,0,0,8,0
2022-02-10,Afghanistan,3,2,0,30,2
2022-02-10,Japan,40,0,0,79,2
2022-02-10,Sweden,1,0,0,8,0
2022-02-11,Afghanistan,3,2,0,30,2
2022-02-11,Japan,40,0,0,79,2
2022-02-11,Sweden,1,0,0,8,0
2022-02-12,Afghanistan,3,2,0,31,1
2022-02-12,Japan,40,0,0,79,2
2022-02-12,Sweden,1,0,0,8,0
2022-02-13,Afghanistan,3,2,0,31,1
2022-02-13,Japan,40,0,0,79,2
2022-02-13,Sweden,1,0,0,8,0
2022-02-14,Afghanistan,3,2,0,31,1
2022-02-14,Japan,40,0,0,80,1
2022-02-14,Sweden,1,0,0,8,0
2022-02-15,Afghanistan,3,1,1,31,1
2022-02-15,Japan,40,0,0,80,1
2022-02-15,Sweden,1,0,0,8,0
2022-02-16,Afghanistan,3,1,1,31,1
2022-02-16,Japan,40,0,0,80,1
2022-02-16,Sweden,1,0,0,8,0
2022-02-17,Afghanistan,3,1,1,31,1
2022-02-17,Japan,40,0,0,80,1
2022-02-17,Sweden,1,0,0,8,0
2022-02-18,Afghanistan,3,1,1,31,1
2022-02-18,Japan,40,0,0,81,0
2022-02-18,Sweden,1,0,0,8,0
2022-02-19,Afghanistan,3,1,0,32,1
2022-02-19,Japan,40,0,0,81,0
2022-02-19,Sweden,1,0,0,8,0
2022-02-20,Afghanistan,3,1,0,33,0
2022-02-20,Japan,40,0,0,81,0
2022-02-20,Sweden,1,0,0,8,0
2022-02-21,Afghanistan,3,1,0,33,0
2022-02-21,Japan,40,0,0,81,0
2022-02-21,Sweden,1,0,0,8,0
2022-02-22,Afghanistan,3,0,1,33,0
2022-02-22,Japan,40,0,0,81,0
2022-02-22,Sweden,1,0,0,8,0
2022-02-23,Afghanistan,3,0,1,33,0
2022-02-23,Japan,40,0,0,81,0
2022-02-23,Sweden,1,0,0,8,0
2022-02-24,Afghanistan,3,0,1,33,0
2022-02-24,Japan,40,0,0,81,0
2022-02-24,Sweden,1,0,0,8,0
2022-02-25,Afghanistan,3,0,1,33,0
2022-02-25,Japan,40,0,0,81,0
2022-02-25,Sweden,1,0,0,8,0
2022-02-26,Afghanistan,3,0,0,33,1
2022-02-26,Japan,40,0,0,81,0
2022-02-26,Sweden,1,0,0,8,0
2022-02-27,Afghanistan,3,0,0,33,1
2022-02-27,Japan,40,0,0,81,0
2022-02-27,Sweden,1,0,0,8,0
2022-02-28,Afghanistan,3,0,0,33,1
2022-02-28,Japan,40,0,0,81,0
2022-02-28,Sweden,1,0,0,8,0
2022-03-01,Afghanistan,3,0,0,33,1
2022-03-01,Japan,40,0,0,81,0
2022-03-01,Sweden,1,0,0,8,0
2022-03-02,Afghanistan,3,0,0,33,1
2022-03-02,Japan,40,0,0,81,0
2022-03-02,Sweden,1,0,0,8,0
2022-03-03,Afghanistan,3,0,0,33,1
2022-03-03,Japan,40,0,0,81,0
2022-03-03,Sweden,1,0,0,8,0
2022-03-04,Afghanistan,3,0,0,33,1
2022-03-04,Japan,40,0,0,81,0
2022-03-04,Sweden,1,0,0,8,0
2022-03-05,Afghanistan,3,0,0,33,1
2022-03-05,Japan,40,0,0,81,0
2022-03-05,Sweden,1,0,0,8,0
2022-03-06,Afghanistan,3,0,0,33,1
2022-03-06,Japan,40,0,0,81,0
2022-03-06,Sweden,1,0,0,8,0
2022-03-07,Afghanistan,3,0,0,33,1
2022-03-07,Japan,40,0,0,81,0
2022-03-07,Sweden,1,0,0,8,0
2022-03-08,Afghanistan,3,1,0,32,1
2022-03-08,Japan,40,0,0,81,0
2022-03-08,Sweden,1,0,0,8,0
2022-03-09,Afghanistan,3,1,0,32,1
2022-03-09,Japan,40,0,0,81,0
2022-03-09,Sweden,1,0,0,8,0
2022-03-10,Afghanistan,3,1,0,32,1
2022-03-10,Japan,40,0,0,81,0
2022-03-10,Sweden,1,0,0,8,0
2022-03-11,Afghanistan,3,1,0,32,1
2022-03-11,Japan,40,0,0,81,0
2022-03-11,Sweden,1,0,0,8,0
2022-03-12,Afghanistan,3,1,0,33,0
2022-03-12,Japan,40,0,0,81,0
2022-03-12,Sweden,1,0,0,8,0
2022-03-13,Afghanistan,3,1,0,33,0
2022-03-13,Japan,40,0,0,81,0
2022-03-13,Sweden,1,0,0,8,0
2022-03-14,Afghanistan,3,1,0,33,0
2022-03-14,Japan,40,0,0,81,0
2022-03-14,Sweden,1,0,0,8,0
2022-03-15,Afghanistan,3,1,0,33,0
2022-03-15,Japan,40,0,0,81,0
2022-03-15,Sweden,1,0,0,8,0
2022-03-16,Afghanistan,3,1,0,33,0
2022-03-16,Japan,40,0,0,81,0
2022-03-16,Sweden,1,0,0,8,0
2022-03-17,Afghanistan,3,1,0,33,0
2022-03-17,Japan,40,0,0,81,0
2022-03-17,Sweden,1,0,0,8,0
2022-03-18,Afghanistan,3,1,0,33,0
2022-03-18,Japan,40,0,0,81,0
2022-03-18,Sweden,1,0,0,8,0
2022-03-19,Afghanistan,3,1,0,33,0
2022-03-19,Japan,40,0,0,81,0
2022-03-19,Sweden,1,0,0,8,0
2022-03-20,Afghanistan,3,1,0,33,0
2022-03-20,Japan,40,0,0,81,0
2022-03-20,Sweden,1,0,0,8,0
2022-03-21,Afghanistan,3,1,0,33,0
2022-03-21,Japan,40,0,0,81,0
2022-03-21,Sweden,1,0,0,8,0
2022-03-22,Afghanistan,3,1,0,33,0
2022-03-22,Japan,40,0,0,81,0
2022-03-22,Sweden,1,0,0,8,0
2022-03-23,Afghanistan,3,1,0,33,0
2022-03-23,Japan,40,0,0,81,0
2022-03-23,Sweden,1,0,0,8,0
2022-03-24,Afghanistan,3,1,0,33,0
2022-03-24,Japan,40,0,0,81,0
2022-03-24,Sweden,1,0,0,8,0
2022-03-25,Afghanistan,3,1,0,33,0
2022-03-25,Japan,40,0,0,81,0
2022-03-25,Sweden,1,0,0,8,0
2022-03-26,Afghanistan,3,1,0,33,0
2022-03-26,Japan,40,0,0,81,0
2022-03-26,Sweden,1,0,0,8,0
2022-03-27,Afghanistan,3,1,0,33,0
2022-03-27,Japan,40,0,0,81,0
2022-03-27,Sweden,1,0,0,8,0
2022-03-28,Afghanistan,3,1,0,33,0
2022-03-28,Japan,40,0,0,81,0
2022-03-28,Sweden,1,0,0,8,0
2022-03-29,Afghanistan,3,1,0,33,0
2022-03-29,Japan,40,0,0,81,0
2022-03-29,Sweden,1,0,0,8,0
2022-03-30,Afghanistan,3,1,0,33,0
2022-03-30,Japan,40,0,0,81,0
2022-03-30,Sweden,1,0,0,8,0
2022-03-31,Afghanistan,3,1,0,33,0
2022-03-31,Japan,40,0,0,81,0
2022-03-31,Sweden,1,0,0,8,0
2022-04-01,Afghanistan,3,1,0,33,0
2022-04-01,Japan,40,0,0,81,0
2022-04-01,Sweden,1,0,0,8,0
2022-04-02,Afghanistan,3,1,0,33,0
2022-04-02,Japan,40,0,0,81,0
2022-04-02,Sweden,1,0,0,8,0
2022-04-03,Afghanistan,3,0,1,33,0
2022-04-03,Japan,40,0,0,81,0
2022-04-03,Sweden,1,0,0,8,0
2022-04-04,Afghanistan,3,0,1,33,0
2022-04-04,Japan,40,0,0,81,0
2022-04-04,Sweden,1,0,0,8,0
2022-04-05,Afghanistan,3,0,1,33,0
2022-04-05,Japan,40,0,0,81,0
2022-04-05,Sweden,1,0,0,8,0
2022-04-06,Afghanistan,3,0,1,33,0
2022-04-06,Japan,40,0,0,81,0
2022-04-06,Sweden,1,0,0,8,0
2022-04-07,Afghanistan,3,0,0,34,0
2022-04-07,Japan,40,0,0,81,0
2022-04-07,Sweden,1,0,0,8,0
2022-04-08,Afghanistan,3,0,0,34,0
2022-04-08,Japan,40,0,0,81,0
2022-04-08,Sweden,1,0,0,8,0
2022-04-09,Afghanistan,3,0,0,34,0
2022-04-09,Japan,40,0,0,81,0
2022-04-09,Sweden,1,0,0,8,0
2022-04-10,Afghanistan,3,0,0,34,0
2022-04-10,Japan,40,0,0,81,0
2022-04-10,Sweden,1,0,0,8,0
2022-04-11,Afghanistan,3,0,0,34,0
2022-04-11,Japan,40,0,0,81,0
2022-04-11,Sweden,1,0,0,8,0
2022-04-12,Afghanistan,3,0,0,34,0
2022-04-12,Japan,40,1,0,80,0
2022-04-12,Sweden,1,0,0,8,0
2022-04-13,Afghanistan,3,1,0,33,0
2022-04-13,Japan,40,1,0,80,0
2022-04-13,Sweden,1,1,0,7,0
2022-04-14,Afghanistan,3,2,0,32,0
2022-04-14,Japan,40,1,1,79,0
2022-04-14,Sweden,1,1,0,7,0
2022-04-15,Afghanistan,3,2,1,31,0
2022-04-15,Japan,40,2,2,77,0
2022-04-15,Sweden,1,1,0,7,0
2022-04-16,Afghanistan,3,2,1,31,0
2022-04-16,Japan,40,1,3,77,0
2022-04-16,Sweden,1,1,0,7,0
2022-04-17,Afghanistan,3,2,1,31,0
2022-04-17,Japan,40,1,3,77,0
2022-04-17,Sweden,1,1,0,7,0
2022-04-18,Afghanistan,3,2,1,31,0
2022-04-18,Japan,40,0,3,77,1
2022-04-18,Sweden,1,1,0,7,0
2022-04-19,Afghanistan,3,1,1,31,1
2022-04-19,Japan,40,1,2,76,2
2022-04-19,Sweden,1,1,0,7,0
2022-04-20,Afghanistan,3,0,2,31,1
2022-04-20,Japan,40,1,1,76,3
2022-04-20,Sweden,1,1,0,7,0
2022-04-21,Afghanistan,3,0,2,31,1
2022-04-21,Japan,40,2,1,75,3
2022-04-21,Sweden,1,1,0,7,0
2022-04-22,Afghanistan,3,0,2,31,1
2022-04-22,Japan,40,2,1,75,3
2022-04-22,Sweden,1,1,0,7,0
2022-04-23,Afghanistan,3,0,1,32,1
2022-04-23,Japan,40,1,2,75,3
2022-04-23,Sweden,1,1,0,7,0
2022-04-24,Afghanistan,3,0,0,33,1
2022-04-24,Japan,40,2,3,73,3
2022-04-24,Sweden,1,1,0,7,0
2022-04-25,Afghanistan,3,0,0,33,1
2022-04-25,Japan,40,2,5,71,3
2022-04-25,Sweden,1,1,0,7,0
2022-04-26,Afghanistan,3,0,0,33,1
2022-04-26,Japan,40,3,4,71,3
2022-04-26,Sweden,1,0,1,7,0
2022-04-27,Afghanistan,3,0,0,33,1
2022-04-27,Japan,40,2,6,69,4
2022-04-27,Sweden,1,0,1,7,0
2022-04-28,Afghanistan,3,0,0,33,1
2022-04-28,Japan,40,4,6,66,5
2022-04-28,Sweden,1,1,1,6,0
2022-04-29,Afghanistan,3,2,0,31,1
2022-04-29,Japan,40,7,4,64,6
2022-04-29,Sweden,1,2,1,5,0
2022-04-30,Afghanistan,3,3,2,28,1
2022-04-30,Japan,40,9,5,61,6
2022-04-30,Sweden,1,1,1,6,0
